WARNING:src.config.loader:optimization.lambda_sweep has only 3 points. That is enough to compare designs but too few to present as a Pareto front.
WARNING:src.fenitop.topopt:No 'solid' cell_tags/solid_tag found in fem dict -- bolt/mount regions will NOT be hard-pinned to solid density. This mirrors the exact bug that caused bolt bosses to be optimized away; check fenitop_adapter.py wires cell_tags + solid_tag through.
opt_iter: 1, opt_time: 2.25 (s), beta: 1, C: 36.291, V: 0.071, U: 0.000, change: 0.020
opt_iter: 2, opt_time: 1.32 (s), beta: 1, C: 21.199, V: 0.080, U: 0.000, change: 0.020
opt_iter: 3, opt_time: 0.98 (s), beta: 1, C: 14.756, V: 0.080, U: 0.000, change: 0.020
opt_iter: 4, opt_time: 1.16 (s), beta: 1, C: 11.195, V: 0.080, U: 0.000, change: 0.020
opt_iter: 5, opt_time: 1.24 (s), beta: 1, C: 8.992, V: 0.080, U: 0.000, change: 0.020
opt_iter: 6, opt_time: 1.48 (s), beta: 1, C: 7.495, V: 0.080, U: 0.000, change: 0.020
opt_iter: 7, opt_time: 1.37 (s), beta: 1, C: 6.387, V: 0.080, U: 0.000, change: 0.020
opt_iter: 8, opt_time: 1.93 (s), beta: 1, C: 5.515, V: 0.080, U: 0.000, change: 0.020
opt_iter: 9, opt_time: 1.62 (s), beta: 1, C: 4.801, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 10: max |u| over all load cases = 1.320315e+01 m (13203.148678 mm)
opt_iter: 10, opt_time: 1.07 (s), beta: 1, C: 4.210, V: 0.080, U: 0.000, change: 0.020
opt_iter: 11, opt_time: 1.05 (s), beta: 1, C: 3.720, V: 0.080, U: 0.000, change: 0.020
opt_iter: 12, opt_time: 1.43 (s), beta: 1, C: 3.316, V: 0.080, U: 0.000, change: 0.020
opt_iter: 13, opt_time: 1.58 (s), beta: 1, C: 2.981, V: 0.080, U: 0.000, change: 0.020
opt_iter: 14, opt_time: 1.39 (s), beta: 1, C: 2.703, V: 0.080, U: 0.000, change: 0.020
opt_iter: 15, opt_time: 1.52 (s), beta: 1, C: 2.469, V: 0.080, U: 0.000, change: 0.020
opt_iter: 16, opt_time: 1.64 (s), beta: 1, C: 2.272, V: 0.080, U: 0.000, change: 0.020
opt_iter: 17, opt_time: 1.46 (s), beta: 1, C: 2.103, V: 0.080, U: 0.000, change: 0.020
opt_iter: 18, opt_time: 1.42 (s), beta: 1, C: 1.958, V: 0.080, U: 0.000, change: 0.020
opt_iter: 19, opt_time: 1.77 (s), beta: 1, C: 1.831, V: 0.080, U: 0.000, change: 0.020
