sample_index,compliance
0,1.6256694660e-01
1,1.7267442395e-01
2,2.0672050198e-01
3,1.6886639524e-01
4,1.6517707880e-01
5,1.6248204002e-01
6,1.7133136947e-01
7,1.8918760791e-01
8,1.8706771356e-01
9,1.6635366017e-01
10,1.7262197438e-01
11,1.6781669612e-01
12,1.6705482179e-01
13,1.7958194941e-01
14,1.6729111916e-01
15,1.8832118211e-01
16,1.6244022042e-01
17,1.6813221851e-01
18,1.5926123053e-01
19,1.6269806664e-01
20,1.6439956519e-01
21,1.9598604909e-01
22,1.7716948270e-01
23,1.5918018635e-01
24,1.6121730313e-01
25,1.6803689696e-01
26,2.0273166040e-01
27,1.7991372450e-01
28,1.6833191938e-01
29,1.7733602889e-01
30,1.5187524775e-01
31,1.5951555156e-01
32,1.6759246049e-01
33,1.6290802625e-01
34,1.7756209967e-01
35,1.7685209757e-01
36,1.7083036531e-01
37,1.7968588279e-01
38,1.8555604953e-01
39,1.8305712204e-01
40,2.0019752244e-01
41,1.5670423410e-01
42,1.5093101464e-01
43,1.8669076083e-01
44,1.6292959673e-01
45,1.8118203974e-01
46,1.7516984426e-01
47,1.7289847432e-01
48,1.9582334963e-01
49,1.7701273262e-01
50,1.5402451566e-01
51,1.8086987206e-01
52,1.9222870681e-01
53,1.7458448441e-01
54,1.6807483562e-01
55,1.6494779450e-01
56,1.6883392736e-01
57,1.7591501828e-01
58,1.6192794519e-01
59,1.6026127659e-01
60,1.7804801292e-01
61,1.8108985544e-01
62,1.7977680356e-01
63,1.7772669827e-01
64,1.8363981541e-01
65,1.7255899825e-01
66,2.1217712780e-01
67,1.8728356826e-01
68,1.7214545367e-01
69,1.7458702593e-01
70,1.6127989602e-01
71,1.9324966733e-01
72,1.6675995955e-01
73,1.7713707812e-01
74,1.6811302687e-01
75,1.7169864821e-01
76,1.6552652664e-01
77,1.6817620007e-01
78,1.6701112617e-01
79,1.8280249890e-01
80,1.5200353314e-01
81,1.6230219786e-01
82,1.7553972924e-01
83,1.5075548130e-01
84,1.7377214281e-01
85,1.5692891339e-01
86,1.7336977882e-01
87,1.7454620086e-01
88,1.8066837344e-01
89,1.8515330759e-01
90,1.7724878071e-01
91,1.6999048649e-01
92,1.7336627487e-01
93,1.8594729305e-01
94,1.7707105745e-01
95,1.5963194668e-01
96,1.5609282804e-01
97,1.6911675447e-01
98,1.6792980053e-01
99,1.6047412249e-01
