nominal,robust_lambda0,robust_lambda1
1.6256694660e-01,1.5319151114e-01,1.5233506470e-01
1.7267442395e-01,1.6078309096e-01,1.5973775981e-01
2.0672050198e-01,1.8065137686e-01,1.7826896756e-01
1.6886639524e-01,1.5682292295e-01,1.5614718819e-01
1.6517707880e-01,1.5203994573e-01,1.5115120264e-01
1.6248204002e-01,1.4913633244e-01,1.4817824797e-01
1.7133136947e-01,1.5647019728e-01,1.5539329076e-01
1.8918760791e-01,1.6800471537e-01,1.6598588870e-01
1.8706771356e-01,1.6978708422e-01,1.6821852007e-01
1.6635366017e-01,1.5535934985e-01,1.5447081132e-01
1.7262197438e-01,1.5735527903e-01,1.5617414927e-01
1.6781669612e-01,1.5661243680e-01,1.5628004853e-01
1.6705482179e-01,1.5670065706e-01,1.5648131176e-01
1.7958194941e-01,1.6634220262e-01,1.6477594593e-01
1.6729111916e-01,1.5691709586e-01,1.5651758320e-01
1.8832118211e-01,1.6905626539e-01,1.6717871475e-01
1.6244022042e-01,1.5047115370e-01,1.4974775885e-01
1.6813221851e-01,1.5447054645e-01,1.5361501788e-01
1.5926123053e-01,1.5115541139e-01,1.5097368354e-01
1.6269806664e-01,1.5458750851e-01,1.5411469237e-01
1.6439956519e-01,1.5509010696e-01,1.5427247208e-01
1.9598604909e-01,1.7052280408e-01,1.6878794913e-01
1.7716948270e-01,1.6171620641e-01,1.6091190414e-01
1.5918018635e-01,1.5156079756e-01,1.5126717872e-01
1.6121730313e-01,1.4921040635e-01,1.4844209663e-01
1.6803689696e-01,1.5604552098e-01,1.5556262158e-01
2.0273166040e-01,1.7848821914e-01,1.7647684012e-01
1.7991372450e-01,1.6595908579e-01,1.6493625015e-01
1.6833191938e-01,1.5642843100e-01,1.5572750244e-01
1.7733602889e-01,1.6250797304e-01,1.6141483364e-01
1.5187524775e-01,1.4446295582e-01,1.4440908156e-01
1.5951555156e-01,1.4923515996e-01,1.4872567031e-01
1.6759246049e-01,1.5691201955e-01,1.5617555164e-01
1.6290802625e-01,1.4948339142e-01,1.4908720042e-01
1.7756209967e-01,1.5776109801e-01,1.5654605340e-01
1.7685209757e-01,1.6376011659e-01,1.6228038503e-01
1.7083036531e-01,1.5438739872e-01,1.5379474597e-01
1.7968588279e-01,1.6711303740e-01,1.6589537140e-01
1.8555604953e-01,1.6668847266e-01,1.6556338943e-01
1.8305712204e-01,1.6365770103e-01,1.6234288000e-01
2.0019752244e-01,1.7615846900e-01,1.7392470189e-01
1.5670423410e-01,1.4928089933e-01,1.4897878107e-01
1.5093101464e-01,1.4308710456e-01,1.4284746548e-01
1.8669076083e-01,1.7030810315e-01,1.6881797569e-01
1.6292959673e-01,1.5016246745e-01,1.4930010178e-01
1.8118203974e-01,1.6360156055e-01,1.6211223690e-01
1.7516984426e-01,1.5507723333e-01,1.5414555493e-01
1.7289847432e-01,1.6069404175e-01,1.6000412025e-01
1.9582334963e-01,1.7430204978e-01,1.7251334824e-01
1.7701273262e-01,1.6016850219e-01,1.5882395244e-01
1.5402451566e-01,1.4450790172e-01,1.4405455301e-01
1.8086987206e-01,1.6812301847e-01,1.6703789346e-01
1.9222870681e-01,1.6824732477e-01,1.6631831882e-01
1.7458448441e-01,1.5988461347e-01,1.5935298970e-01
1.6807483562e-01,1.5343767312e-01,1.5253945268e-01
1.6494779450e-01,1.5244893517e-01,1.5161567365e-01
1.6883392736e-01,1.5715367658e-01,1.5630487018e-01
1.7591501828e-01,1.6241903570e-01,1.6098498507e-01
1.6192794519e-01,1.5347264813e-01,1.5317646867e-01
1.6026127659e-01,1.5186657194e-01,1.5174724703e-01
1.7804801292e-01,1.6445541085e-01,1.6352026617e-01
1.8108985544e-01,1.6766829630e-01,1.6611860713e-01
1.7977680356e-01,1.6162420335e-01,1.6046703090e-01
1.7772669827e-01,1.6273594355e-01,1.6207576571e-01
1.8363981541e-01,1.6471187396e-01,1.6331959510e-01
1.7255899825e-01,1.6215310790e-01,1.6123529545e-01
2.1217712780e-01,1.8800585506e-01,1.8564499415e-01
1.8728356826e-01,1.6715129380e-01,1.6578332192e-01
1.7214545367e-01,1.5667696563e-01,1.5573484648e-01
1.7458702593e-01,1.6172785394e-01,1.6110202650e-01
1.6127989602e-01,1.5186232665e-01,1.5161199867e-01
1.9324966733e-01,1.7087313953e-01,1.6938468734e-01
1.6675995955e-01,1.5459947793e-01,1.5378542409e-01
1.7713707812e-01,1.6416644966e-01,1.6294507414e-01
1.6811302687e-01,1.5770748298e-01,1.5711859123e-01
1.7169864821e-01,1.5564274758e-01,1.5434933045e-01
1.6552652664e-01,1.5269023065e-01,1.5208261426e-01
1.6817620007e-01,1.5525584372e-01,1.5465314339e-01
1.6701112617e-01,1.5361840397e-01,1.5281027021e-01
1.8280249890e-01,1.6391233685e-01,1.6288022163e-01
1.5200353314e-01,1.4623149825e-01,1.4604250576e-01
1.6230219786e-01,1.5243829090e-01,1.5239652174e-01
1.7553972924e-01,1.5989099252e-01,1.5920539820e-01
1.5075548130e-01,1.4514505460e-01,1.4518706041e-01
1.7377214281e-01,1.6066241681e-01,1.5974142112e-01
1.5692891339e-01,1.5050996475e-01,1.5039971349e-01
1.7336977882e-01,1.6127537978e-01,1.6040731525e-01
1.7454620086e-01,1.6429174086e-01,1.6311623471e-01
1.8066837344e-01,1.6442422736e-01,1.6355338100e-01
1.8515330759e-01,1.6384074554e-01,1.6268288859e-01
1.7724878071e-01,1.6172894009e-01,1.6034504663e-01
1.6999048649e-01,1.5535754954e-01,1.5459526068e-01
1.7336627487e-01,1.6217595393e-01,1.6150404915e-01
1.8594729305e-01,1.6966739501e-01,1.6827861741e-01
1.7707105745e-01,1.6448041677e-01,1.6317871841e-01
1.5963194668e-01,1.5268909676e-01,1.5197879286e-01
1.5609282804e-01,1.4694670502e-01,1.4627967959e-01
1.6911675447e-01,1.6073318196e-01,1.6003791849e-01
1.6792980053e-01,1.5389514866e-01,1.5280638910e-01
1.6047412249e-01,1.4853826226e-01,1.4784558274e-01
