sample_index,opacity_weight
0,4.0137953853e-02
1,2.2101889228e-05
2,6.3209398637e-02
3,3.8500848391e-02
4,1.7573377630e-03
5,1.5691782676e-05
6,4.1055540245e-02
7,6.2226234317e-05
8,2.9670133899e-05
9,1.3772950335e-04
10,6.3753402019e-05
11,2.0800325746e-07
12,2.0527961744e-05
13,1.0686422307e-07
14,2.3435966886e-05
15,3.4862742247e-04
16,1.4960762284e-02
17,5.8581584812e-05
18,4.2183689345e-04
19,1.0353239382e-05
20,6.1379392241e-04
21,3.9496207791e-06
22,1.1330787626e-04
23,9.1225289542e-06
24,2.7569707601e-04
25,1.2213652254e-03
26,8.3011512380e-05
27,2.0072828789e-02
28,8.1228010544e-04
29,1.0000000000e+00
30,1.4170346873e-02
31,6.0973498436e-05
32,3.4958863655e-01
33,7.7133593596e-02
34,2.9038888037e-04
35,3.3313715169e-06
36,1.9785213421e-02
37,8.0213306539e-03
38,3.2016880578e-04
39,5.3461077038e-03
40,3.6927373586e-05
41,2.9619301379e-01
42,3.4239244818e-06
43,3.5382074342e-03
44,3.2815947476e-04
45,1.2871194882e-02
46,1.1647866668e-03
47,1.7855198179e-03
48,3.8095788695e-05
49,2.7785574447e-01
50,1.7848751623e-06
51,2.5822659874e-03
52,1.7198081343e-01
53,2.2676430608e-03
54,1.6802480259e-03
55,2.0462699236e-04
56,1.0455231514e-01
57,4.9154549115e-03
58,4.2524436079e-04
59,3.2460658048e-05
60,1.8633761963e-08
61,1.9131496274e-05
62,2.7906718410e-03
63,1.0235337544e-04
64,2.6138706070e-03
65,1.0421144360e-05
66,2.1792146511e-10
67,6.9088851120e-01
68,1.7731195992e-05
69,8.0878429195e-05
70,6.3562155572e-06
71,5.6917251725e-11
72,1.5876962808e-03
73,7.2247515447e-02
74,2.2805707043e-03
75,1.9038212630e-04
76,8.8826739832e-04
77,5.3967497929e-04
78,2.4696792553e-02
79,2.0052668373e-03
80,2.6621456311e-05
81,3.0150350581e-04
82,1.5468356558e-04
83,1.7798085982e-06
84,3.3789927479e-07
85,1.1982770392e-03
86,1.3326625534e-03
87,9.1756374773e-05
88,8.1373783528e-05
89,2.8371065126e-06
90,1.3954812990e-03
91,3.4070133680e-08
92,1.7633686460e-04
93,2.7849892919e-09
94,1.0051650300e-03
95,3.3004059101e-06
96,5.6963938083e-03
97,1.1324520567e-03
98,5.8744187906e-07
99,2.5658790382e-04
