sample_index,compliance
0,1.5233506470e-01
1,1.5973775981e-01
2,1.7826896756e-01
3,1.5614718819e-01
4,1.5115120264e-01
5,1.4817824797e-01
6,1.5539329076e-01
7,1.6598588870e-01
8,1.6821852007e-01
9,1.5447081132e-01
10,1.5617414927e-01
11,1.5628004853e-01
12,1.5648131176e-01
13,1.6477594593e-01
14,1.5651758320e-01
15,1.6717871475e-01
16,1.4974775885e-01
17,1.5361501788e-01
18,1.5097368354e-01
19,1.5411469237e-01
20,1.5427247208e-01
21,1.6878794913e-01
22,1.6091190414e-01
23,1.5126717872e-01
24,1.4844209663e-01
25,1.5556262158e-01
26,1.7647684012e-01
27,1.6493625015e-01
28,1.5572750244e-01
29,1.6141483364e-01
30,1.4440908156e-01
31,1.4872567031e-01
32,1.5617555164e-01
33,1.4908720042e-01
34,1.5654605340e-01
35,1.6228038503e-01
36,1.5379474597e-01
37,1.6589537140e-01
38,1.6556338943e-01
39,1.6234288000e-01
40,1.7392470189e-01
41,1.4897878107e-01
42,1.4284746548e-01
43,1.6881797569e-01
44,1.4930010178e-01
45,1.6211223690e-01
46,1.5414555493e-01
47,1.6000412025e-01
48,1.7251334824e-01
49,1.5882395244e-01
50,1.4405455301e-01
51,1.6703789346e-01
52,1.6631831882e-01
53,1.5935298970e-01
54,1.5253945268e-01
55,1.5161567365e-01
56,1.5630487018e-01
57,1.6098498507e-01
58,1.5317646867e-01
59,1.5174724703e-01
60,1.6352026617e-01
61,1.6611860713e-01
62,1.6046703090e-01
63,1.6207576571e-01
64,1.6331959510e-01
65,1.6123529545e-01
66,1.8564499415e-01
67,1.6578332192e-01
68,1.5573484648e-01
69,1.6110202650e-01
70,1.5161199867e-01
71,1.6938468734e-01
72,1.5378542409e-01
73,1.6294507414e-01
74,1.5711859123e-01
75,1.5434933045e-01
76,1.5208261426e-01
77,1.5465314339e-01
78,1.5281027021e-01
79,1.6288022163e-01
80,1.4604250576e-01
81,1.5239652174e-01
82,1.5920539820e-01
83,1.4518706041e-01
84,1.5974142112e-01
85,1.5039971349e-01
86,1.6040731525e-01
87,1.6311623471e-01
88,1.6355338100e-01
89,1.6268288859e-01
90,1.6034504663e-01
91,1.5459526068e-01
92,1.6150404915e-01
93,1.6827861741e-01
94,1.6317871841e-01
95,1.5197879286e-01
96,1.4627967959e-01
97,1.6003791849e-01
98,1.5280638910e-01
99,1.4784558274e-01
