sample_index,compliance
0,1.5233497516e-01
1,1.5973869519e-01
2,1.7826941759e-01
3,1.5614730349e-01
4,1.5115123853e-01
5,1.4817888522e-01
6,1.5539262531e-01
7,1.6598647550e-01
8,1.6821868002e-01
9,1.5447095547e-01
10,1.5617354713e-01
11,1.5627982424e-01
12,1.5648144323e-01
13,1.6477627052e-01
14,1.5651769436e-01
15,1.6717872121e-01
16,1.4974706093e-01
17,1.5361452136e-01
18,1.5097371037e-01
19,1.5411427674e-01
20,1.5427275024e-01
21,1.6878648039e-01
22,1.6091225989e-01
23,1.5126736303e-01
24,1.4844202924e-01
25,1.5556160478e-01
26,1.7647726836e-01
27,1.6493600460e-01
28,1.5572627740e-01
29,1.6141621485e-01
30,1.4440876703e-01
31,1.4872590708e-01
32,1.5617632701e-01
33,1.4908673985e-01
34,1.5654639265e-01
35,1.6228125044e-01
36,1.5379494266e-01
37,1.6589572481e-01
38,1.6556402163e-01
39,1.6234224878e-01
40,1.7392552041e-01
41,1.4897894771e-01
42,1.4284740611e-01
43,1.6881919072e-01
44,1.4929930875e-01
45,1.6211205337e-01
46,1.5414521430e-01
47,1.6000364753e-01
48,1.7251391924e-01
49,1.5882418872e-01
50,1.4405396988e-01
51,1.6703802420e-01
52,1.6631861268e-01
53,1.5935268862e-01
54,1.5254029567e-01
55,1.5161553892e-01
56,1.5630463806e-01
57,1.6098369461e-01
58,1.5317598572e-01
59,1.5174605172e-01
60,1.6352073250e-01
61,1.6611839699e-01
62,1.6046698326e-01
63,1.6207595547e-01
64,1.6331950834e-01
65,1.6123584921e-01
66,1.8564560709e-01
67,1.6578251616e-01
68,1.5573475441e-01
69,1.6110260092e-01
70,1.5161228076e-01
71,1.6938505506e-01
72,1.5378520353e-01
73,1.6294594770e-01
74,1.5711896886e-01
75,1.5434926334e-01
76,1.5208219089e-01
77,1.5465308034e-01
78,1.5281048793e-01
79,1.6288136495e-01
80,1.4604273359e-01
81,1.5239626857e-01
82,1.5920477590e-01
83,1.4518704262e-01
84,1.5974138756e-01
85,1.5040087122e-01
86,1.6040705997e-01
87,1.6311578494e-01
88,1.6355249822e-01
89,1.6268232271e-01
90,1.6034551355e-01
91,1.5459535848e-01
92,1.6150398020e-01
93,1.6827784796e-01
94,1.6317860019e-01
95,1.5197963019e-01
96,1.4627839770e-01
97,1.6003808939e-01
98,1.5280595401e-01
99,1.4784592989e-01
