sample_index,xi_norm2,radius_percentile,occurrence_likelihood,likelihood_rank,opacity_weight,log10_opacity_weight,compliance,compliance_percentile,compliance_z,is_tail_95
0,2.4848755235e+01,6.3515022030e-02,9.3648497797e-01,11,4.0137953853e-02,-1.3964447707e+00,1.5233502408e-01,2.4000000000e-01,-7.4858058298e-01,0
1,3.9857584346e+01,6.5583178191e-01,3.4416821809e-01,75,2.2101889228e-05,-4.6555706021e+00,1.5973967020e-01,5.6000000000e-01,1.9784907192e-01,0
2,2.3940493963e+01,4.7877977153e-02,9.5212202285e-01,9,6.3209398637e-02,-1.1992183415e+00,1.7826989653e-01,9.9000000000e-01,2.5663019901e+00,1
3,2.4932039414e+01,6.5105383728e-02,9.3489461627e-01,12,3.8500848391e-02,-1.4145297004e+00,1.5614678743e-01,4.4000000000e-01,-2.6137757376e-01,0
4,3.1105799910e+01,2.5891141319e-01,7.4108858681e-01,31,1.7573377630e-03,-2.7551447584e+00,1.5115038395e-01,1.7000000000e-01,-8.9999613090e-01,0
5,4.0542636168e+01,6.8309371119e-01,3.1690628881e-01,79,1.5691782676e-05,-4.8043277153e+00,1.4817848761e-01,8.0000000000e-02,-1.2798509926e+00,0
6,2.4803548388e+01,6.2663011769e-02,9.3733698823e-01,10,4.1055540245e-02,-1.3866282287e+00,1.5539260515e-01,4.0000000000e-01,-3.5777387190e-01,0
7,3.7787357157e+01,5.6684527406e-01,4.3315472594e-01,66,6.2226234317e-05,-4.2060264800e+00,1.6598621904e-01,8.6000000000e-01,9.9625577052e-01,0
8,3.9268628632e+01,6.3146200728e-01,3.6853799272e-01,72,2.9670133899e-05,-4.5276804937e+00,1.6821825012e-01,9.1000000000e-01,1.2815442732e+00,0
9,3.6198327244e+01,4.9356231508e-01,5.0643768492e-01,58,1.3772950335e-04,-3.8609730186e+00,1.5447111309e-01,3.7000000000e-01,-4.7555497827e-01,0
10,3.7738865431e+01,5.6466026339e-01,4.3533973661e-01,65,6.3753402019e-05,-4.1954966354e+00,1.5617323377e-01,4.5000000000e-01,-2.5799731763e-01,0
11,4.9189313603e+01,9.1331538098e-01,8.6684619017e-02,93,2.0800325746e-07,-6.6819298637e+00,1.5627998690e-01,4.7000000000e-01,-2.4435259696e-01,0
12,4.0005334638e+01,6.6181301655e-01,3.3818698345e-01,76,2.0527961744e-05,-4.6876541703e+00,1.5648134648e-01,4.9000000000e-01,-2.1861569141e-01,0
13,5.0521302913e+01,9.3169131928e-01,6.8308680721e-02,94,1.0686422307e-07,-6.9711676673e+00,1.6477652949e-01,8.1000000000e-01,8.4163851471e-01,0
14,3.9740366749e+01,6.5104804566e-01,3.4895195434e-01,74,2.3435966886e-05,-4.6301171243e+00,1.5651785847e-01,5.0000000000e-01,-2.1394888768e-01,0
15,3.4340902937e+01,4.0563919183e-01,5.9436080817e-01,47,3.4862742247e-04,-3.4576384550e+00,1.6717911755e-01,9.0000000000e-01,1.1487268686e+00,0
16,2.6822538116e+01,1.0866119885e-01,8.9133880115e-01,16,1.4960762284e-02,-1.8250462776e+00,1.4974717093e-01,1.4000000000e-01,-1.0793487148e+00,0
17,3.7908069736e+01,5.7226744006e-01,4.2773255994e-01,68,5.8581584812e-05,-4.2322388835e+00,1.5361435932e-01,3.0000000000e-01,-5.8506151805e-01,0
18,3.3959673064e+01,3.8764367203e-01,6.1235632797e-01,46,4.2183689345e-04,-3.3748554400e+00,1.5097386654e-01,1.6000000000e-01,-9.2255781835e-01,0
19,4.1374311617e+01,7.1450904568e-01,2.8549095432e-01,81,1.0353239382e-05,-4.9849237444e+00,1.5411470722e-01,3.3000000000e-01,-5.2110922612e-01,0
20,3.3209592045e+01,3.5257972202e-01,6.4742027798e-01,43,6.1379392241e-04,-3.2119774161e+00,1.5427197275e-01,3.5000000000e-01,-5.0100823022e-01,0
21,4.3301671388e+01,7.7971205363e-01,2.2028794637e-01,84,3.9496207791e-06,-5.4034446009e+00,1.6878725453e-01,9.3000000000e-01,1.3542719416e+00,0
22,3.6588693161e+01,5.1183746938e-01,4.8816253062e-01,59,1.1330787626e-04,-3.9457399004e+00,1.6091202708e-01,6.3000000000e-01,3.4769462826e-01,0
23,4.1627416400e+01,7.2368715758e-01,2.7631284242e-01,82,9.1225289542e-06,-5.0398847495e+00,1.5126670964e-01,1.8000000000e-01,-8.8512788726e-01,0
24,3.4810305102e+01,4.2788339188e-01,5.7211660812e-01,52,2.7569707601e-04,-3.5595678399e+00,1.4844217922e-01,9.0000000000e-02,-1.2461470781e+00,0
