INFO:__main__:Run id: 20260730T161859Z_nogit (artifacts under output/<stage>/20260730T161859Z_nogit/)
INFO:__main__:mesh_source='box': bypassing STEP/CAD pipeline, building beam_3d.py-equivalent mesh (cell_type=tetrahedron)
INFO:src.meshing.box_source:Traction patch: half-width 0.6 (auto max(0.5, 1.5h)), area 0.16, traction_z -2 (total force 0.32 held fixed across refinement levels)
INFO:src.meshing.box_source:Built box-mesh fenitop dicts (beam_3d.py reference): cell_type=tetrahedron, domain=[[0, 0, 0], [10, 30, 10]], refinement=1 -> elements=[25, 75, 25], h=0.4, R=0.6 (R/h=1.5, FIXED across levels), E=100, nu=0.25, vol_frac=0.08
INFO:__main__:Physical groups: {}
INFO:__main__:Stage 1 complete: mesh + physical groups written to output/stage1_mesh/20260730T161859Z_nogit
INFO:__main__:Stage 2: running nominal SIMP topopt for warm-start (1 load case(s): ['beam_3d_reference'])
WARNING:src.fenitop.topopt:No 'solid' cell_tags/solid_tag found in fem dict -- bolt/mount regions will NOT be hard-pinned to solid density. This mirrors the exact bug that caused bolt bosses to be optimized away; check fenitop_adapter.py wires cell_tags + solid_tag through.
opt_iter: 1, opt_time: 4.13 (s), beta: 1, C: 39.200, V: 0.071, U: 0.000, change: 0.020
opt_iter: 2, opt_time: 1.32 (s), beta: 1, C: 22.842, V: 0.080, U: 0.000, change: 0.020
opt_iter: 3, opt_time: 1.11 (s), beta: 1, C: 15.749, V: 0.080, U: 0.000, change: 0.020
opt_iter: 4, opt_time: 1.2 (s), beta: 1, C: 11.831, V: 0.080, U: 0.000, change: 0.020
opt_iter: 5, opt_time: 1.56 (s), beta: 1, C: 9.415, V: 0.080, U: 0.000, change: 0.020
opt_iter: 6, opt_time: 1.56 (s), beta: 1, C: 7.787, V: 0.080, U: 0.000, change: 0.020
opt_iter: 7, opt_time: 1.05 (s), beta: 1, C: 6.596, V: 0.080, U: 0.000, change: 0.020
opt_iter: 8, opt_time: 1.56 (s), beta: 1, C: 5.670, V: 0.080, U: 0.000, change: 0.020
opt_iter: 9, opt_time: 1.84 (s), beta: 1, C: 4.920, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 10: max |u| over all load cases = 1.347006e+01 m (13470.055506 mm)
opt_iter: 10, opt_time: 1.58 (s), beta: 1, C: 4.304, V: 0.080, U: 0.000, change: 0.020
opt_iter: 11, opt_time: 1.13 (s), beta: 1, C: 3.795, V: 0.080, U: 0.000, change: 0.020
